trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,1,30227.39,2.6632483,30011.23828125,18565.3828125,1.6816277503967285,0.5668280720710754,83436.7578125,21628.828125,-0.20463289320468903,-1.9971481561660767,1,-1,11,13,0.0,0.0,-343.2954406738281,-789.86865234375,1,1,24397.32421875,-1.7235027551651,-0.7894778251647949,70707.9765625,-0.6935883164405823,Ztautau,46.11485833383432,31.62746997068375,1.7925152629613876,2.8055906876648473
True,False,2,1,57575.816,-0.6104572,185092.578125,32803.59765625,0.08675896376371384,0.39574134349823,185789.65625,35406.00390625,-2.336496591567993,-1.7594714164733887,1,-1,13,11,0.0,0.0,-293.9599609375,-87.5081787109375,1,1,215820.609375,0.12065619230270386,1.0329290628433228,218082.640625,-0.8896048069000244,Ztautau,50.50188793564469,213.33681181734147,0.5770251750946045,1.6420571636505934
True,True,2,1,31427.652,0.34388813,52496.609375,26371.416015625,1.1194970607757568,1.318493127822876,88975.375,52813.125,-2.137874126434326,-0.6700560450553894,-1,1,11,13,0.0,0.0,-1874.45361328125,-1675.66552734375,1,1,63522.94140625,0.9009151458740234,1.7934678792953491,91360.3828125,-0.9222744703292847,Ztautau,50.39045855559656,61.12258268836279,1.4678180813789368,2.038193457685427
