trigE,trigM,lep_n,jet_n,met_et,met_phi,lep_pt_0,lep_pt_1,lep_eta_0,lep_eta_1,lep_E_0,lep_E_1,lep_phi_0,lep_phi_1,lep_charge_0,lep_charge_1,lep_type_0,lep_type_1,lep_ptcone30_0,lep_ptcone30_1,lep_etcone20_0,lep_etcone20_1,lep_isTightID_0,lep_isTightID_1,jet_pt,jet_eta,jet_phi,jet_E,jet_MV2c10,sample,mLL,pTll,dphi_ll,dphi_ll_met
True,False,2,0,50155.7,-0.7251816,31347.4921875,22804.17578125,-0.9267148375511169,-0.4714955687522888,45799.44921875,25386.48046875,2.3581340312957764,2.970475673675537,1,-1,11,13,0.0,0.0,-117.32180786132812,-1125.6259765625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,20.26037438417601,51.697499738130034,0.6123416423797607,2.9435292320318247
True,False,2,0,54628.336,2.055777,29288.234375,21271.990234375,-0.05822910740971565,0.6038171648979187,29337.900390625,25269.3046875,-0.9794151782989502,-1.1231800317764282,-1,1,11,13,0.0,0.0,-140.75753784179688,-807.5325317382812,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,17.206048051046878,50.4329427136927,0.14376485347747803,3.0956586579895613
True,True,2,1,67905.55,2.465721,30933.8203125,25602.7578125,-0.7943611145019531,-1.1407368183135986,41217.8515625,44147.55859375,-0.7189134359359741,-1.446520209312439,1,-1,13,11,0.0,0.0,-323.1297302246094,-450.12799072265625,1,1,21148.296875,0.34548419713974,0.3607999086380005,22735.212890625,-0.8869548439979553,Higgs,22.29548060887688,52.870313561465764,0.7276067733764648,2.7706347619417935
True,True,2,0,58489.633,2.7770765,29130.748046875,26108.43359375,-0.9719557762145996,-0.2593071162700653,44008.56640625,26991.337890625,-0.2882024347782135,-0.7281861901283264,1,-1,11,13,0.0,0.0,-126.82901000976562,-204.81439208984375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,23.404345268637496,53.91190875665847,0.4399837553501129,3.010148377432934
True,False,2,1,55410.957,3.1195912,54710.453125,22801.630859375,-0.793783962726593,-0.2136683464050293,72871.0546875,23324.34765625,0.471940279006958,0.2128862738609314,1,-1,11,13,0.0,0.0,-60.89935302734375,-639.4697875976562,1,1,24645.294921875,2.2448482513427734,-1.54025137424469,117663.328125,-0.7551743388175964,Higgs,22.69315298601119,76.9731945986387,0.2590540051460266,2.7236076368900792
True,False,2,0,61922.42,2.3471773,46554.5546875,27199.33203125,0.6838442087173462,1.0511256456375122,57870.88671875,43660.68359375,-0.16897781193256378,-1.374398112297058,1,-1,11,13,0.0,0.0,-591.0490112304688,-667.7554321289062,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,42.430894539577245,61.74136212772408,1.2054203003644943,2.940206694315205
True,False,2,0,88765.56,-1.6530985,37514.3125,18515.73046875,0.8205395340919495,-0.4460005760192871,50867.89453125,20388.275390625,1.8061304092407227,1.1406630277633667,1,-1,11,13,0.0,0.0,-1329.207275390625,-524.5025634765625,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,39.59538030346077,53.31929908504063,0.665467381477356,3.040042607537412
True,False,2,0,34145.055,-1.6186281,32249.82421875,16500.86328125,-0.401614248752594,0.11696244776248932,34885.82421875,16614.1953125,1.0418096780776978,2.777996778488159,-1,1,11,13,0.0,0.0,-206.8248291015625,-159.349609375,1,1,0.0,0.0,0.0,0.0,0.0,Higgs,37.22722792721083,33.7209975618796,1.7361871004104614,3.1190609069628437
False,True,2,1,31822.102,1.2035453,51776.1171875,22096.931640625,1.9080170392990112,2.377717971801758,178319.1875,120130.3671875,-2.661219835281372,-2.085017442703247,-1,1,13,11,0.0,0.0,-145.37820434570312,-564.9219970703125,1,1,43190.76953125,-1.35690438747406,0.4944867491722107,89853.96875,-0.9222057461738586,Higgs,25.030763554703434,71.32861752222814,0.576202392578125,2.588019374911859
True,False,2,1,34720.27,1.0057808,42154.26171875,30764.033203125,1.189653754234314,0.78035569190979,75672.5859375,40616.21875,-2.760098457336426,2.8587915897369385,1,-1,11,13,0.0,0.0,-573.0152587890625,-459.9181213378906,1,1,53002.8046875,0.3029383718967438,-0.07608368247747421,56230.98046875,-0.12963324785232544,Higgs,27.782049743379297,69.0328728887199,0.664295260106222,2.2389856841412747
